year,y,x1,x2,x3,x4,x5,x6
1995,4814,1754.2,2814,7.17,1159,2.68,929
1996,4868.2,2056,2822,7.19,812,2.38,1206
1997,4927.31,2372.35,2902,7.2,198,2.36,1270
1998,4963.98,2073.53,2947,7.23,181,2.26,1240
1999,4884.6,2291.46,2961,7.28,69,2.34,1425
2000,4922.3,2236,2989,7.33,96,2.4,1551
2001,4801.6,2299.7,2973,7.39,83,2.52,1731
2002,4855.7,2248.4,3013,7.47,78,2.69,1972
2003,4804.6,2292.5,2982,7.55,67,2.81,2183
2004,4856,2480,2931,7.65,723,2.93,2428
2005,4962.7,2577.7,2873,7.74,361,3.02,2629
2006,5006.7,2822.7,2831,7.86,52,3.05,2871
2007,5213.3,2980.2,2863,7.93,10,3.01,3074
2008,5260,3051,2824,8.07,2,2.99,3418
2009,5263.3,3055,2784,8.13,106,2.97,3701
2010,5280,3082.22,2731,8.19,136,2.85,4093
2011,5323.33,3123,2670,8.27,179,2.76,4320
2012,5340,3177.35,2628,8.31,408,2.72,5032
2013,5367.3,3226,2563,8.45,551,2.64,5628
2014,5407.3,3329,2652,8.48,292,2.59,6438
2015,5426,3501,2569,8.54,385,2.36,7092
2016,5465.3,3466,2542,8.62,337,2.33,7787
2017,5475.3,3550,2516,8.7,430,2.32,8061
2018,5510.2,3660.4,2492,8.78,288,2.3,8669
